"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Agent","5","445","153587712","21766144","46891008","26952","C:\ProgramData\Battle.net\Agent\Agent.6788\Agent.exe","Blizzard Entertainment","21.890625","2.18.1.6788","2.18.1.6788","Blizzard Update Agent","Blizzard Update Agent","Process","8",,"False",,"4284","Microsoft.Win32.SafeHandles.SafeProcessHandle","445","7728",".","0","","System.Diagnostics.ProcessModule (Agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26952","26952","46891008","46891008","212248","212248","58798080","58798080","23187456","23187456","179908608","179908608","True","Normal","46891008","46891008","00:00:03.4843750","Agent","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:09:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:21.8906250","00:00:18.4062500","153587712","153587712","False",,,,"21766144","21766144",,
"ApplicationFrameHost","5","520","2203605422080","30281728","20332544","31136","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","2.703125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4840","Microsoft.Win32.SafeHandles.SafeProcessHandle","520","12084",".","131660","Microsoft Store","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31136","31136","20332544","20332544","432432","432432","32735232","32735232","42213376","42213376","302899200","2203621122048","True","Normal","20332544","20332544","00:00:01.7343750","ApplicationFrameHost","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:10:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7031250","00:00:00.9687500","287199232","2203605422080","False",,,,"30281728","30281728",,
"AsRogAuraGpuDllServer","5","213","110477312","364544","17612800","15216",,,"0.171875",,,,,"Process","6",,,,,,"213","3912",".","0","",,,,,"15216","15216","17612800","17612800","183072","183072","25366528","25366528","34877440","34877440","123027456","123027456",,,"17612800","17612800","00:00:00","AsRogAuraGpuDllServer",,"True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:09:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.1718750","110477312","110477312","False",,,,"364544","364544",,
"atkexComSvc","0","135","49745920","1232896","1421312","8960",,,,,,,,"Process","8",,,,,,"135","2936",".","0","",,,,,"8960","8960","1421312","1421312","100320","100320","1744896","1744896","6836224","6836224","57610240","57610240",,,"1421312","1421312",,"atkexComSvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"49745920","49745920","False",,,,"1232896","1232896",,
"audiodg","0","189","2203404124160","12066816","7507968","11432",,,"59.390625",,,,,"Process","8",,,,,,"189","9704",".","0","",,,,,"11432","11432","7507968","7507968","96368","96368","8228864","8228864","13156352","13156352","89088000","2203407310848",,,"7507968","7507968","00:00:14.4843750","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2019 4:44:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:59.3906250","00:00:44.9062500","85901312","2203404124160","False",,,,"12066816","12066816",,
"Battle.net","5","1065","723611648","153604096","119148544","111744","D:\Programs\Battle.net\Battle.net.exe","Blizzard Entertainment","499.375","1.15.1.11346","1.15.1.11346","Blizzard Battle.net App","Blizzard Battle.net App","Process","8",,"False",,"4692","Microsoft.Win32.SafeHandles.SafeProcessHandle","1065","6040",".","919570","Blizzard Battle.net","System.Diagnostics.ProcessModule (Battle.net.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","111744","111744","119148544","119148544","913016","913016","138489856","138489856","175198208","175198208","763121664","763121664","True","Normal","119148544","119148544","00:01:38.8281250","Battle.net","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:09:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:08:19.3750000","00:06:40.5468750","723611648","723611648","False",,,,"153604096","153604096",,
"Battle.net","5","566","578920448","67284992","57737216","35152","D:\Programs\Battle.net\Battle.net.exe","Blizzard Entertainment","6.046875","1.15.1.11346","1.15.1.11346","Blizzard Battle.net App","Blizzard Battle.net App","Process","8",,"False",,"3100","Microsoft.Win32.SafeHandles.SafeProcessHandle","566","7148",".","0","","System.Diagnostics.ProcessModule (Battle.net.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35152","35152","57737216","57737216","590888","590888","515014656","515014656","144101376","144101376","929226752","929226752","True","Normal","57737216","57737216","00:00:00.7812500","Battle.net","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:09:26 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.0468750","00:00:05.2656250","578920448","578920448","False",,,,"67284992","67284992",,
"Battle.net","5","424","321314816","76267520","39063552","34032","D:\Programs\Battle.net\Battle.net.exe","Blizzard Entertainment","10.34375","1.15.1.11346","1.15.1.11346","Blizzard Battle.net App","Blizzard Battle.net App","Process","8",,"False",,"4256","Microsoft.Win32.SafeHandles.SafeProcessHandle","424","9796",".","0","","System.Diagnostics.ProcessModule (Battle.net.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34032","34032","39063552","39063552","485256","485256","43986944","43986944","87777280","87777280","349851648","349851648","True","Normal","39063552","39063552","00:00:00.7343750","Battle.net","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:09:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:10.3437500","00:00:09.6093750","321314816","321314816","False",,,,"76267520","76267520",,
"Calculator","5","563","4841836544","57344","35610624","30320","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.53.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.375","10.1906.53.0","10.1906.53.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"3968","Microsoft.Win32.SafeHandles.SafeProcessHandle","563","11412",".","66658","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30320","30320","35610624","35610624","696832","696832","37658624","37658624","61980672","61980672","551063552","4846030848","True","Normal","35610624","35610624","00:00:00.2031250","Calculator","63","False","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:10:26 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3750000","00:00:00.1718750","546869248","4841836544","False",,,,"57344","57344",,
"chrome","5","236","2203729719296","30855168","34488320","23112","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.34375","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"5060","Microsoft.Win32.SafeHandles.SafeProcessHandle","236","348",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23112","23112","34488320","34488320","343904","343904","43257856","43257856","57229312","57229312","427618304","2203745841152","True","Idle","34488320","34488320","00:00:00.0625000","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:55:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","00:00:00.2812500","411496448","2203729719296","False",,,,"30855168","30855168",,
"chrome","5","344","2203430428672","6557696","4116480","10736","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"3888","Microsoft.Win32.SafeHandles.SafeProcessHandle","344","680",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10736","10736","4116480","4116480","130192","130192","4169728","4169728","7606272","7606272","118497280","2203436720128","True","Normal","4116480","4116480","00:00:00.0937500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","112205824","2203430428672","False",,,,"6557696","6557696",,
"chrome","5","265","2203772600320","71278592","65495040","30592","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","3.265625","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4916","Microsoft.Win32.SafeHandles.SafeProcessHandle","265","1580",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30592","30592","65495040","65495040","354184","354184","82362368","82362368","85594112","85594112","471814144","2203790036992","True","Idle","65495040","65495040","00:00:00.2187500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:31:12 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.2656250","00:00:03.0468750","454377472","2203772600320","False",,,,"71278592","71278592",,
"chrome","5","557","2204629291008","616898560","616312832","141648","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","563.296875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"4484","Microsoft.Win32.SafeHandles.SafeProcessHandle","557","1964",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","141648","141648","616312832","616312832","399984","399984","664850432","664850432","664477696","664477696","1348575232","2204666798080","True","Normal","616312832","616312832","00:01:03.2656250","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:00:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:09:23.2968750","00:08:20.0312500","1311068160","2204629291008","False",,,,"616898560","616898560",,
"chrome","5","356","2204300615680","245927936","301142016","73704","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","169.109375","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4388","Microsoft.Win32.SafeHandles.SafeProcessHandle","356","2492",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73704","73704","301142016","301142016","528344","528344","417083392","417083392","446050304","446050304","1277255680","2204595478528","True","Idle","301142016","301142016","00:00:16.5156250","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:31:10 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:49.1093750","00:02:32.5937500","982392832","2204300615680","False",,,,"245927936","245927936",,
"chrome","5","327","2203886276608","124293120","120172544","49496","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","9.21875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"3500","Microsoft.Win32.SafeHandles.SafeProcessHandle","327","3356",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","49496","49496","120172544","120172544","388304","388304","188358656","188358656","204697600","204697600","637915136","2203956137984","True","Idle","120172544","120172544","00:00:00.6562500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:09.2187500","00:00:08.5625000","568053760","2203886276608","False",,,,"124293120","124293120",,
"chrome","5","542","2204130754560","305868800","335663104","108384","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","83.6875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4568","Microsoft.Win32.SafeHandles.SafeProcessHandle","542","4684",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","108384","108384","335663104","335663104","422520","422520","377921536","377921536","399171584","399171584","1133088768","2204451311616","True","Idle","335663104","335663104","00:00:03.5312500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:31:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:23.6875000","00:01:20.1562500","812531712","2204130754560","False",,,,"305868800","305868800",,
"chrome","5","366","2203798048768","91836416","57712640","31000","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.953125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"2232","Microsoft.Win32.SafeHandles.SafeProcessHandle","366","5428",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31000","31000","57712640","57712640","415664","415664","73428992","73428992","106725376","106725376","506171392","2203824394240","True","Idle","57712640","57712640","00:00:00.2656250","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:50:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.9531250","00:00:01.6875000","479825920","2203798048768","False",,,,"91836416","91836416",,
"chrome","5","512","2203623936000","48156672","36917248","34216","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","304.796875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"4208","Microsoft.Win32.SafeHandles.SafeProcessHandle","512","5556",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34216","34216","36917248","36917248","409632","409632","42999808","42999808","61546496","61546496","440705024","2203758927872","True","Normal","36917248","36917248","00:01:37.4687500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:05:04.7968750","00:03:27.3281250","305713152","2203623936000","False",,,,"48156672","48156672",,
"chrome","5","294","2203819667456","89108480","59793408","32904","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","8.75","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle","294","5724",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32904","32904","59793408","59793408","384928","384928","139878400","139878400","152539136","152539136","703332352","2204021555200","True","Idle","59793408","59793408","00:00:00.7500000","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:06:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.7500000","00:00:08","501444608","2203819667456","False",,,,"89108480","89108480",,
"chrome","5","244","2204970561536","140730368","143753216","76152","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","26.296875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"1708","Microsoft.Win32.SafeHandles.SafeProcessHandle","244","5820",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","76152","76152","143753216","143753216","353088","353088","303407104","303407104","280752128","280752128","1770414080","2205088636928","True","Normal","143753216","143753216","00:00:03.4218750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:26.2968750","00:00:22.8750000","1652338688","2204970561536","False",,,,"140730368","140730368",,
"chrome","5","236","2203732078592","30437376","33894400","24336","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.203125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4216","Microsoft.Win32.SafeHandles.SafeProcessHandle","236","6464",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24336","24336","33894400","33894400","348000","348000","41713664","41713664","54841344","54841344","425521152","2203743744000","True","Idle","33894400","33894400","00:00:00.0468750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:46:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.1562500","413855744","2203732078592","False",,,,"30437376","30437376",,
"chrome","5","435","2204317650944","211976192","224706560","86352","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","22.71875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"3524","Microsoft.Win32.SafeHandles.SafeProcessHandle","435","6616",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","86352","86352","224706560","224706560","380448","380448","400121856","400121856","371617792","371617792","1463386112","2204781608960","True","Idle","224706560","224706560","00:00:02.3593750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:32:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:22.7187500","00:00:20.3593750","999428096","2204317650944","False",,,,"211976192","211976192",,
"chrome","5","237","2203702493184","21606400","13467648","18352","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.046875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"1924","Microsoft.Win32.SafeHandles.SafeProcessHandle","237","7552",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18352","18352","13467648","13467648","375688","375688","14721024","14721024","21626880","21626880","386367488","2203704590336","True","Idle","13467648","13467648","00:00:00.0468750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 7:14:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","384270336","2203702493184","False",,,,"21606400","21606400",,
"chrome","5","334","2203845799936","104525824","77156352","33448","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","7.53125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4432","Microsoft.Win32.SafeHandles.SafeProcessHandle","334","7768",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33448","33448","77156352","77156352","432640","432640","114167808","114167808","156532736","156532736","578084864","2203896307712","True","Idle","77156352","77156352","00:00:00.7343750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:21:00 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.5312500","00:00:06.7968750","527577088","2203845799936","False",,,,"104525824","104525824",,
"chrome","5","245","2203736649728","46215168","33820672","27464","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.578125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"3176","Microsoft.Win32.SafeHandles.SafeProcessHandle","245","8108",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27464","27464","33820672","33820672","344896","344896","37875712","37875712","50257920","50257920","427339776","2203745562624","True","Normal","33820672","33820672","00:00:00.2187500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5781250","00:00:01.3593750","418426880","2203736649728","False",,,,"46215168","46215168",,
"chrome","5","295","2203786248192","89329664","84721664","36576","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","2.21875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"3180","Microsoft.Win32.SafeHandles.SafeProcessHandle","295","8756",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36576","36576","84721664","84721664","339880","339880","92712960","92712960","95531008","95531008","481787904","2203800010752","True","Idle","84721664","84721664","00:00:00.2343750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:00:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.2187500","00:00:01.9843750","468025344","2203786248192","False",,,,"89329664","89329664",,
"chrome","5","508","2204155035648","288325632","351789056","112464","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","73.453125","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"3572","Microsoft.Win32.SafeHandles.SafeProcessHandle","508","8884",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","112464","112464","351789056","351789056","432088","432088","420179968","420179968","453771264","453771264","1218600960","2204536823808","True","Idle","351789056","351789056","00:00:03.3437500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:32:53 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:13.4531250","00:01:10.1093750","836812800","2204155035648","False",,,,"288325632","288325632",,
"chrome","5","915","2205085061120","317800448","740401152","79896","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1044.46875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"3464","Microsoft.Win32.SafeHandles.SafeProcessHandle","915","10008",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","79896","79896","740401152","740401152","841816","841816","964300800","964300800","514007040","514007040","1949081600","2205267304448","True","Normal","740401152","740401152","00:03:12.6093750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:17:24.4687500","00:14:11.8593750","1766838272","2205085061120","False",,,,"317800448","317800448",,
"chrome","5","257","2203751649280","58691584","43106304","25832","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","2.046875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4644","Microsoft.Win32.SafeHandles.SafeProcessHandle","257","10044",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25832","25832","43106304","43106304","332464","332464","73523200","73523200","84914176","84914176","469618688","2203787841536","True","Idle","43106304","43106304","00:00:00.1875000","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:00:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0468750","00:00:01.8593750","433426432","2203751649280","False",,,,"58691584","58691584",,
"chrome","5","239","2227414142976","332369920","360038400","36712","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","7.6875","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"3120","Microsoft.Win32.SafeHandles.SafeProcessHandle","239","10156",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36712","36712","360038400","360038400","340784","340784","385253376","385253376","350773248","350773248","-1649111040","2227438915584","True","Normal","360038400","360038400","00:00:00.7656250","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.6875000","00:00:06.9218750","-1673883648","2227414142976","False",,,,"332369920","332369920",,
"chrome","5","303","2203775799296","72036352","49717248","28416","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.4375","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"4456","Microsoft.Win32.SafeHandles.SafeProcessHandle","303","10200",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28416","28416","49717248","49717248","393712","393712","82911232","82911232","106737664","106737664","490278912","2203808501760","True","Idle","49717248","49717248","00:00:00.2187500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:58:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.4375000","00:00:01.2187500","457576448","2203775799296","False",,,,"72036352","72036352",,
"chrome","5","239","2203749384192","35184640","38244352","25152","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.765625","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"2004","Microsoft.Win32.SafeHandles.SafeProcessHandle","239","10228",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25152","25152","38244352","38244352","358248","358248","80723968","80723968","89280512","89280512","466292736","2203784515584","True","Idle","38244352","38244352","00:00:00.0625000","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:00:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7656250","00:00:00.7031250","431161344","2203749384192","False",,,,"35184640","35184640",,
"chrome","5","351","2203782455296","81661952","55279616","30456","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.859375","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","4",,"False",,"5040","Microsoft.Win32.SafeHandles.SafeProcessHandle","351","10836",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30456","30456","55279616","55279616","389304","389304","66355200","66355200","88932352","88932352","479440896","2203797663744","True","Idle","55279616","55279616","00:00:00.3593750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 6:13:38 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8593750","00:00:01.5000000","464232448","2203782455296","False",,,,"81661952","81661952",,
"chrome","5","2999","2204299563008","245276672","225452032","93944","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","345.265625","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"5028","Microsoft.Win32.SafeHandles.SafeProcessHandle","2999","11400",".","131806","Export-Csv - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","93944","93944","225452032","225452032","1395360","1395360","391557120","391557120","380862464","380862464","1159729152","2204477952000","True","Normal","225452032","225452032","00:02:03.1718750","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:05:45.2656250","00:03:42.0937500","981340160","2204299563008","False",,,,"245276672","245276672",,
"chrome","5","145","2203456954368","7458816","4239360","11688","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.09375","76.0.3809.100","76.0.3809.100","Google Chrome","Google Chrome","Process","8",,"False",,"3432","Microsoft.Win32.SafeHandles.SafeProcessHandle","145","11428",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11688","11688","4239360","4239360","190864","190864","4337664","4337664","9469952","9469952","145022976","2203463245824","True","Normal","4239360","4239360","00:00:00.0937500","chrome","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:11:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","138731520","2203456954368","False",,,,"7458816","7458816",,
